price,canonical city,country,region,latitude,longitude,population
6.3,Copenhagen,Denmark,Europe ,55.6786,12.5635,1085000
6,Dubai,United Arab Emirates,Middle east ,25.2697,55.3094,2502715
5.7,Hong Kong,Hong Kong,Asia & Pacific ,22.305,114.185,7347000
5.5,Oslo,Norway,Europe ,59.9111,10.7528,693494
5.5,Paris,France,Europe ,48.8566,2.3522,11020000
5.4,Singapore,Singapore,Asia & Pacific ,1.3,103.8,5745000
5.3,Shanghai,China,Asia & Pacific ,31.1667,121.4667,22120000
5.2,Boston,United States,North America ,42.3188,-71.0846,4688346
5.1,Zurich,Switzerland,Europe ,47.3786,8.54,434008
5,Helsinki,Finland,Europe ,60.1756,24.9342,642045
5,Manhattan,United States,North America ,40.7834,-73.9662,1628706
4.9,Chicago,United States,North America ,41.8373,-87.6862,8604203
4.8,San Francisco,United States,North America ,37.7562,-122.443,3592294
4.5,Seoul,"Korea, South",Asia & Pacific ,37.5833,127,21794000
4.5,Lagos,Nigeria,Africa ,6.45,3.4,15279000
4.5,Dhaka,Bangladesh,Asia & Pacific ,23.7161,90.3961,15443000
4.2,Tokyo,Japan,Asia & Pacific ,35.6897,139.6922,37977000
4.1,London,United Kingdom,Europe ,51.5072,-0.1275,10979000
4.1,Vienna,Austria,Europe ,48.2083,16.3731,1840573
4.1,New Delhi,India,Asia & Pacific ,28.7,77.2,142004
4,Athens,Greece,Europe ,37.9794,23.7161,664046
4,Amsterdam,Netherlands,Europe ,52.35,4.9166,1031000
4,Stockholm,Sweden,Europe ,59.3294,18.0686,972647
4,Jakarta,Indonesia,Asia & Pacific ,-6.2146,106.8451,34540000
3.9,Brussels,Belgium,Europe ,50.8467,4.3517,185103
3.9,Kuala Lumpur,Malaysia,Asia & Pacific ,3.1478,101.6953,8285000
3.9,Toronto,Canada,North America ,43.7417,-79.3733,5429524
3.9,Vancouver,Canada,North America ,49.25,-123.1,2264823
3.7,Edinburgh,United Kingdom,Europe ,55.953,-3.189,488050
3.7,Dublin,Ireland,Europe ,53.3425,-6.2658,1173179
3.6,Mumbai,India,Asia & Pacific ,18.9667,72.8333,23355000
3.6,Moscow,Russia,Europe ,55.7558,37.6178,17125000
3.5,Frankfurt,Germany,Europe ,50.1136,8.6797,753056
3.4,Warsaw,Poland,Europe ,52.2167,21.0333,1790658
3.3,Berlin,Germany,Europe ,52.5167,13.3833,3644826
3.1,Sydney,Australia,Asia & Pacific ,-33.865,151.2094,5312163
3,Auckland,New Zealand,Asia & Pacific ,-36.85,174.7833,1467800
3,Wellington,New Zealand,Asia & Pacific ,-41.2889,174.7772,418500
3,Mexico City,Mexico,South/Latin America ,19.4333,-99.1333,20996000
3,Manila,Philippines,Asia & Pacific ,14.5958,120.9772,23088000
3,Bangalore,India,Asia & Pacific ,12.9699,77.598,13707000
3,Melbourne,Australia,Asia & Pacific ,-37.8136,144.9631,5078193
2.7,Prague,Czechia,Europe ,50.0833,14.4167,1324277
2.7,Lisbon,Portugal,Europe ,38.7452,-9.1604,506654
2.7,Madrid,Spain,Europe ,40.4189,-3.6919,3266126
2.3,Cairo,Egypt,Middle east ,30.0561,31.2394,19372000
2.3,Sao Paulo,Brazil,South/Latin America ,-23.5504,-46.6339,22046000
2.3,Rio de Janeiro,Brazil,South/Latin America ,-22.9083,-43.1964,12272000
2.2,Istanbul,Turkey,Europe ,41.01,28.9603,15154000
2.1,Johannesburg,South Africa,Africa ,-26.2044,28.0416,4434827
2.1,Cape Town,South Africa,Africa ,-33.925,18.425,433688
2,Rome,Italy,Europe ,41.8931,12.4828,2872800
1.9,Buenos Aires,Argentina,South/Latin America ,-34.5997,-58.3819,16157000
1.7,Milan,Italy,Europe ,45.4669,9.19,1351562
