city_ascii,country,region,latitude,longitude,population,iso2,iso3,admin_name,city
Kabul,Afghanistan,Asia & Pacific ,34.5328,69.1658,3678034,AF,AFG,Kābul,Kabul
Kandahar,Afghanistan,Asia & Pacific ,31.6078,65.7053,491500,AF,AFG,Kandahār,Kandahār
Herat,Afghanistan,Asia & Pacific ,34.3738,62.1792,436300,AF,AFG,Herāt,Herāt
Mazar-e Sharif,Afghanistan,Asia & Pacific ,36.7,67.1167,427600,AF,AFG,Balkh,Mazār-e Sharīf
Kunduz,Afghanistan,Asia & Pacific ,36.728,68.8725,259809,AF,AFG,Kunduz,Kunduz
Jalalabad,Afghanistan,Asia & Pacific ,34.4303,70.4528,205423,AF,AFG,Nangarhār,Jalālābād
Lashkar Gah,Afghanistan,Asia & Pacific ,31.5938,64.3716,201546,AF,AFG,Helmand,Lashkar Gāh
Maimanah,Afghanistan,Asia & Pacific ,35.9302,64.7701,199795,AF,AFG,Fāryāb,Maīmanah
Shibirghan,Afghanistan,Asia & Pacific ,36.665,65.752,175599,AF,AFG,Jowzjān,Shibirghān
Khost,Afghanistan,Asia & Pacific ,33.3333,69.9167,160214,AF,AFG,Khōst,Khōst
Ghazni,Afghanistan,Asia & Pacific ,33.5492,68.4233,143379,AF,AFG,Ghaznī,Ghaznī
Pul-e Khumri,Afghanistan,Asia & Pacific ,35.95,68.7,113500,AF,AFG,Baghlān,Pul-e Khumrī
Gardez,Afghanistan,Asia & Pacific ,33.5931,69.2297,103601,AF,AFG,Paktiyā,Gardēz
Taluqan,Afghanistan,Asia & Pacific ,36.7167,69.5167,77000,AF,AFG,Takhār,Tāluqān
Farah,Afghanistan,Asia & Pacific ,32.3436,62.1194,73647,AF,AFG,Farāh,Farāh
Faizabad,Afghanistan,Asia & Pacific ,37.1298,70.5792,64704,AF,AFG,Badakhshān,Faīẕābād
Bamyan,Afghanistan,Asia & Pacific ,34.8167,67.8167,61863,AF,AFG,Bāmyān,Bāmyān
Charikar,Afghanistan,Asia & Pacific ,35.0183,69.1679,53676,AF,AFG,Parwān,Chārīkār
Sar-e Pul,Afghanistan,Asia & Pacific ,36.2214,65.9278,51075,AF,AFG,Sar-e Pul,Sar-e Pul
Zaranj,Afghanistan,Asia & Pacific ,30.96,61.86,49851,AF,AFG,Nīmrōz,Zaranj
Asadabad,Afghanistan,Asia & Pacific ,34.8742,71.1528,48400,AF,AFG,Kunaṟ,Asadābād
Maidan Shahr,Afghanistan,Asia & Pacific ,34.3972,68.8697,35008,AF,AFG,Wardak,Maīdān Shahr
Mehtar Lam,Afghanistan,Asia & Pacific ,34.65,70.1833,17345,AF,AFG,Laghmān,Mehtar Lām
Fayroz Koh,Afghanistan,Asia & Pacific ,34.5225,65.2517,15000,AF,AFG,Ghōr,Fayrōz Kōh
Qalat,Afghanistan,Asia & Pacific ,32.1061,66.9069,12191,AF,AFG,Zābul,Qalāt
Tarin Kot,Afghanistan,Asia & Pacific ,32.6333,65.8667,10000,AF,AFG,Uruzgān,Tarīn Kōṯ
Mahmud-e Raqi,Afghanistan,Asia & Pacific ,35.0167,69.3333,7407,AF,AFG,Kāpīsā,Maḩmūd-e Rāqī
Qal`ah-ye Now,Afghanistan,Asia & Pacific ,34.99,63.12,5340,AF,AFG,Bādghīs,Qal‘ah-ye Now
Aibak,Afghanistan,Asia & Pacific ,36.2534,68.0394,4938,AF,AFG,Samangān,Aībak
Pul-e `Alam,Afghanistan,Asia & Pacific ,33.9953,69.0227,,AF,AFG,Lōgar,Pul-e ‘Alam
Sharan,Afghanistan,Asia & Pacific ,33.1757,68.7304,,AF,AFG,Paktīkā,Sharan
Nili,Afghanistan,Asia & Pacific ,33.7218,66.1302,,AF,AFG,Dāykundī,Nīlī
Bazarak,Afghanistan,Asia & Pacific ,35.3129,69.5152,,AF,AFG,Panjshir,Bāzārak
Parun,Afghanistan,Asia & Pacific ,35.4206,70.9226,,AF,AFG,Nūristān,Pārūn
